campus,bldgno,bldgname,Year,Month,Day,Hour,ele,cold,hot,wash_ele,wash_cold,wash_hot
Tempe,14B,Hayden Hall,2019,1,12,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,12,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,12,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,12,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,12,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,13,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,14,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,15,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,16,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,17,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,18,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,19,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,20,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,21,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,22,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,14,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,15,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,16,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,17,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,18,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,19,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,20,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,21,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,22,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,23,23,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,0,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,1,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,2,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,3,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,4,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,5,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,6,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,7,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,8,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,9,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,10,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,11,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,12,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,13,0.0,0.0,0.0,0.0,0.0,0.0
Tempe,14B,Hayden Hall,2019,1,24,14,0.0,0.0,0.0,0.0,0.0,0.0
